location,estimate_type,year,grilse,adults,totals
Hatchery Spawners Subtotals,Spawner Escapement,2001,6753.0,10907.0,3376.0
Hatchery Spawners Subtotals,Spawner Escapement,1999,23468.0,26844.0,1336.0
Hatchery Spawners Subtotals,Spawner Escapement,2000,35991.0,,
Hatchery Spawners Subtotals,Spawner Escapement,2001,,103.0,706.0
Hatchery Spawners Subtotals,Spawner Escapement,1999,809.0,27.0,729.0
Hatchery Spawners Subtotals,Spawner Escapement,2000,756.0,,0.0
Hatchery Spawners Subtotals,Spawner Escapement,2001,44.0,44.0,24.0
Hatchery Spawners Subtotals,Spawner Escapement,1999,166.0,190.0,6.0
Hatchery Spawners Subtotals,Spawner Escapement,2000,170.0,176.0,
Hatchery Spawners Subtotals,Spawner Escapement,2001,4154.0,6797.0,10951.0
Hatchery Spawners Subtotals,Spawner Escapement,1999,3503.0,24340.0,27843.0
Hatchery Spawners Subtotals,Spawner Escapement,2000,1369.0,36890.0,38259.0
Hatchery Spawners Subtotals,Spawner Escapement,2001,,10447.0,18457.0
Hatchery Spawners Subtotals,Spawner Escapement,1999,28904.0,6394.0,82728.0
Hatchery Spawners Subtotals,Spawner Escapement,2000,89122.0,7747.0,77834.0
Hatchery Spawners Subtotals,Spawner Escapement,2001,85581.0,,17304.0
Iron Gate Hatchery  (IGH),Spawner Escapement,2002,1294.0,23667.0,24961.0
Iron Gate Hatchery  (IGH),Spawner Escapement,2003,290.0,31970.0,32260.0
Iron Gate Hatchery  (IGH),Spawner Escapement,2004,937.0,10582.0,11519.0
