fiscal_year,month,pond,mortality,type,age,starting_count
2025,Mar,P0,1,pond,2/other,127
2025,Mar,C5,1,pond,0/2/wild,908
2025,Mar,P0,1,pond,2/other,127
2025,Mar,P1,3,pond,3/other,86
2025,Mar,B3,1,pond,0/wild,NA
2025,Mar,P0,1,pond,2/other,127
2025,Mar,P4,1,pond,1/4,91
2025,Mar,P5,2,pond,1/4,262
2025,Mar,P8,2,pond,1/4,32
2025,Mar,B3,4,pond,0/wild,NA
2025,Mar,P10,1,pond,2/other,3000
2025,Mar,C5,15,pond,0/2/wild,908
2025,Mar,P2,2,pond,4/other,86
2025,Mar,P3,1,pond,4/other,91
2025,Mar,P6,1,pond,1/4,266
2025,Mar,P3,1,pond,4/other,91
2025,Mar,P6,1,pond,1/4,266
2025,Mar,P2,1,pond,4/other,86
2025,Mar,P3,1,pond,4/other,91
2025,Mar,P6,2,pond,1/4,266
2025,Mar,P1,3,pond,3/other,86
2025,Mar,P3,2,pond,4/other,91
2025,Mar,P5,1,pond,1/4,262
2025,Mar,P6,11,pond,1/4,266
2025,Mar,P11,2,pond,2/other,3000
2025,Mar,P5,1,pond,1/4,262
2025,Mar,P6,1,pond,1/4,266
2025,Mar,P0,1,pond,2/other,127
2025,Mar,P3,2,pond,4/other,91
2025,Mar,P8,1,pond,1/4,32
2025,Mar,P11,1,pond,2/other,3000
2025,Mar,P0,5,pond,2/other,127
2025,Mar,P2,3,pond,4/other,86
2025,Mar,P3,3,pond,4/other,91
2025,Mar,P4,1,pond,1/4,91
2025,Mar,P6,1,pond,1/4,266
2025,Mar,P7,2,pond,1/4,85
2025,Mar,P9,2,pond,1/other,401
2025,Mar,P10,1,pond,2/other,3000
2025,Mar,P11,1,pond,2/other,3000
2025,Mar,P0,1,pond,2/other,127
2025,Mar,P3,1,pond,4/other,91
2025,Mar,P6,1,pond,1/4,266
2025,Mar,P9,2,pond,1/other,401
2025,Mar,P10,2,pond,2/other,3000
2025,Mar,B4,1,pond,0/wild/other,NA
2025,Mar,P1,2,pond,3/other,86
2025,Mar,P5,1,pond,1/4,262
2025,Mar,P9,1,pond,1/other,401
2025,Mar,P10,3,pond,2/other,3000
2025,Mar,P6,3,pond,1/4,266
2025,Mar,P8,1,pond,1/4,32
2025,Mar,P10,1,pond,2/other,3000
2025,Mar,P11,3,pond,2/other,3000
